,Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
0,752858,Sean,Rodriguez,F,2002-10-20,35.47,2023-04-03,Smith-Russell,Cosmetic
1,26381,Michelle,Phelps,,1985-10-24,2552.72,2023-07-17,"Peck, Spence and Young",Travel
4,764762,Crystal,Knapp,F,1951-11-02,62.21,2023-06-13,Palmer-Hinton,Electronics
5,576539,Monica,Bartlett,F,2001-10-20,99.14,2023-08-24,"Tran, Torres and Joyce",Cosmetic
6,124681,Thomas,Shaw,,1976-10-26,145.94,2023-08-30,"Evans, Griffin and Torres",Cosmetic
7,521807,Kelsey,Pena,F,1968-10-28,161.39,2023-02-08,Miller PLC,Cosmetic
9,583532,Alexander,Richardson,F,1974-10-27,142.85,2023-06-07,"Blake, Mays and Anderson",Clothing
15,777948,Amy,Pierce,F,1966-10-29,79.57,2023-01-05,Rodriguez Ltd,Restaurant
16,440706,Elizabeth,Barnes,F,1957-10-31,441.18,2023-02-28,Wilson-Zavala,Market
17,793150,Chad,Reese,,1962-10-30,475.82,2023-04-22,Hughes Inc,Market
21,943548,Daniel,Pitts,,1995-10-22,39.87,2023-06-01,Shaw-Elliott,Clothing
22,178351,Robert,Rice,F,1993-10-22,151.73,2023-06-29,Solis-Washington,Clothing
24,111696,Anthony,Miller,,1991-10-23,108.3,2023-06-14,"Nguyen, Patel and Dudley",Cosmetic
27,517389,Brian,Jones,F,1956-10-31,781.85,2023-03-30,Dorsey Inc,Travel
28,744599,William,Contreras,F,2003-10-20,1479.49,2023-04-15,"Fuller, Jones and White",Travel
29,726547,Adam,Hansen,,1966-10-29,94.69,2023-09-13,Johnson-Campbell,Cosmetic
30,485562,Betty,Atkinson,F,1994-10-22,58.97,2023-09-21,"Freeman, Bush and Zuniga",Cosmetic
32,899551,Sarah,Warner,F,1961-10-30,157.6,2023-07-20,Cook-Williams,Clothing
33,485255,Amy,Mercer,F,1970-10-28,2071.69,2023-09-20,"Peck, Horn and Stanley",Travel
35,355400,Aaron,Martinez,F,1978-10-26,631.18,2023-09-10,Padilla-Greene,Travel
39,11697,Jason,Johnson,F,2001-10-20,2423.86,2023-09-02,King-Wright,Travel
40,13908,Scott,Harrison,F,2003-10-20,98.4,2023-09-17,"White, Bernard and Adkins",Cosmetic
41,373595,Emily,Mcdaniel,F,1987-10-24,84.46,2023-05-17,Mason PLC,Restaurant
42,599093,Thomas,Salas,,1956-10-31,57.83,2023-08-06,Jimenez Inc,Electronics
43,370834,Katherine,Howard,F,1997-10-21,856.38,2023-07-26,Hamilton and Sons,Electronics
44,261654,Kevin,Harris,,1977-10-26,147.43,2023-06-11,Thomas LLC,Cosmetic
46,555415,Meghan,Acosta,F,1962-10-30,50.21,2023-03-20,"Washington, Hinton and Sparks",Market
48,573771,Dana,Hunt,F,1991-10-23,331.08,2023-06-30,Torres LLC,Electronics
49,59223,Lisa,Ross,F,1949-11-02,711.74,2023-07-07,Diaz LLC,Travel
50,801291,Sydney,Spencer,,1980-10-25,1374.86,2023-03-19,Johnson LLC,Travel
51,858686,Brian,Mcintyre,F,2003-10-20,39.24,2023-02-18,Morales-Velasquez,Restaurant
52,652558,Melanie,Greene,F,1995-10-22,16.68,2023-05-01,Barnes-Walton,Cosmetic
54,344613,Michelle,Kim,F,1957-10-31,185.8,2023-05-07,Nguyen-Bradley,Cosmetic
56,816425,Tammy,Williams,F,1966-10-29,66.45,2023-06-23,Cooper Inc,Restaurant
57,641954,Justin,Mathews,F,1995-10-22,2035.14,2023-09-14,"Beck, Morris and Murphy",Travel
58,904827,Matthew,Hobbs,F,1963-10-30,153.73,2023-06-20,"Blankenship, Atkinson and Howard",Travel
59,779830,Ann,Sullivan,F,1955-11-01,130.7,2023-02-12,Hester-Greer,Cosmetic
60,765738,Joshua,Burgess,F,1998-10-21,180.37,2023-08-21,Wilcox PLC,Market
61,805732,Sabrina,White,F,1980-10-25,2612.99,2023-07-03,"Woodard, Boyd and Mays",Travel
62,982485,Leslie,Campbell,,1982-10-25,139.2,2023-08-04,"White, Hensley and Hayes",Market
63,955318,Jeffery,Morgan,F,1972-10-27,235.47,2023-06-18,"Collins, Hill and Chapman",Clothing
64,738539,Mary,Pittman,,2005-10-19,52.71,2023-09-26,"Butler, Stewart and Peterson",Clothing
66,884080,Joseph,Meadows,F,1980-10-25,147.62,2023-03-15,"Jackson, Ramirez and Jones",Cosmetic
67,34415,Juan,Kelly,F,1995-10-22,2770.66,2023-07-28,Peterson LLC,Travel
68,164888,Christina,Ellis,F,2001-10-20,654.39,2023-07-29,Ward-Klein,Electronics
70,289003,John,Woods,F,1957-10-31,1949.03,2023-01-01,Stephens-Shelton,Travel
71,385557,Keith,Clark,F,2003-10-20,47.85,2023-04-17,Smith Inc,Restaurant
72,665628,Alejandro,Reed,F,1990-10-23,40.42,2023-08-20,"Odonnell, Bright and Lewis",Clothing
73,95705,Amber,Taylor,F,1967-10-29,263.62,2023-01-20,Rogers and Sons,Clothing
74,697024,Michael,Hines,,1961-10-30,76.6,2023-08-04,Oconnor PLC,Cosmetic
75,273487,David,Morrison,F,2002-10-20,21.85,2023-04-06,Yu and Sons,Restaurant
77,641695,Nicholas,Jones,F,2001-10-20,40.39,2023-09-14,"Mccormick, Adkins and Cobb",Restaurant
78,410859,Christy,Ramos,F,1995-10-22,50.69,2023-10-02,Rogers-Levy,Market
79,403963,Jamie,Collier,,1970-10-28,311.04,2023-05-30,Matthews PLC,Market
82,178510,Kimberly,Klein,F,1969-10-28,287.34,2023-08-18,"Chang, Blevins and Miller",Market
83,143865,Fernando,Oliver,F,1956-10-31,246.62,2023-08-02,Patterson-Davenport,Market
85,800246,Margaret,Carter,,1996-10-21,96.41,2023-03-21,"Miller, Foster and Reed",Cosmetic
86,884621,Charles,Glover,F,1963-10-30,344.34,2023-07-20,Kim and Sons,Electronics
87,420838,Aaron,Mckee,,1975-10-27,231.65,2023-02-21,Arnold-Blackburn,Market
92,450062,Joy,Padilla,F,1951-11-02,278.38,2023-07-23,Frost-Smith,Market
94,155186,Lawrence,Williams,F,2005-10-19,21.79,2023-08-29,Cook-Moore,Restaurant
98,463162,Stephanie,Miller,,1958-10-31,958.43,2023-04-28,Young and Sons,Electronics
99,707412,Derek,Thompson,F,1985-10-24,94.93,2023-08-27,"Fuller, Bowen and Davis",Restaurant
100,514027,Nicole,Kaufman,,1964-10-29,521.53,2023-06-14,Jackson and Sons,Electronics
102,986863,Jesse,Clark,F,1973-10-27,58.8,2023-05-15,"Richard, Hill and Cohen",Restaurant
103,67931,Rebecca,Gamble,,1963-10-30,313.71,2023-01-31,Dawson-Ellis,Market
106,726123,Alexander,Li,,2000-10-20,202.12,2023-06-12,Patel LLC,Market
109,802243,Alison,Leon,F,1973-10-27,2128.0,2023-05-28,Hays-Leon,Travel
110,805206,Lisa,Chavez,F,1949-11-02,86.96,2023-08-28,Horton LLC,Cosmetic
111,140219,Michele,Anderson,F,1986-10-24,79.0,2023-06-08,"Brown, Jones and Perez",Cosmetic
112,796551,Patricia,Jordan,F,1956-10-31,141.06,2023-05-12,Bass Inc,Cosmetic
113,465123,Samuel,Cabrera,F,1972-10-27,95.21,2023-05-26,Fleming-Cantrell,Restaurant
114,428576,Jennifer,Tapia,F,1981-10-25,11.98,2023-04-18,Miller-Taylor,Restaurant
116,471101,Christopher,Lewis,,1980-10-25,442.32,2023-06-20,Parker-Carey,Electronics
117,661557,Stephanie,Tran,F,1964-10-29,2311.32,2023-10-10,Roberts and Sons,Travel
118,354655,Diane,Hudson,F,2004-10-19,269.51,2023-08-09,Robertson-Golden,Clothing
119,41196,Michael,Williams,F,1978-10-26,1854.31,2023-04-03,"Valdez, Carter and Brown",Travel
120,202678,Joseph,Powell,F,1964-10-29,1270.81,2023-02-21,Potts-Wood,Travel
121,292008,Kelsey,Ibarra,F,2003-10-20,104.15,2023-06-15,Higgins Ltd,Clothing
123,918581,Carrie,Nguyen,,1998-10-21,230.32,2023-05-14,Harrison-Rose,Clothing
124,449817,Betty,Charles,F,1979-10-26,77.12,2023-04-19,"Moore, Thompson and Russell",Restaurant
127,266510,Travis,Reed,,2003-10-20,537.66,2023-03-24,"Perkins, Jimenez and Hunter",Electronics
128,138959,Regina,Woods,,1994-10-22,2371.02,2023-08-22,Robinson-Mitchell,Travel
129,465981,Kimberly,Bennett,F,1987-10-24,1868.64,2023-02-26,"Ortiz, Carpenter and Collins",Travel
131,538549,Wayne,Madden,F,1979-10-26,149.98,2023-07-22,Stanley-Morris,Market
132,806417,Selena,Lewis,,1985-10-24,75.65,2023-06-23,Stone Group,Electronics
135,63966,Bianca,Bell,,1980-10-25,54.06,2023-06-14,Herring-Walsh,Clothing
136,269658,Michael,Reid,F,2002-10-20,83.38,2023-02-24,Holt and Sons,Clothing
138,538301,Anita,Ramirez,,1997-10-21,274.8,2023-07-14,Brown Group,Clothing
140,949304,Deborah,Leonard,F,1997-10-21,66.11,2023-01-14,Nguyen-Booth,Clothing
141,71844,Christopher,Harmon,F,2003-10-20,144.23,2023-01-04,"Frazier, Edwards and Wall",Cosmetic
143,140041,Erika,Vazquez,F,1965-10-29,701.38,2023-01-02,Miller LLC,Electronics
144,760246,Joseph,Jones,F,1981-10-25,50.36,2023-04-01,"Jones, Sutton and Burton",Restaurant
147,428653,Shannon,Duke,F,2000-10-20,193.66,2023-05-08,"Wright, Christian and Moon",Clothing
148,483307,Joseph,Torres,F,2001-10-20,78.67,2023-09-19,Lang-Powell,Electronics
149,80027,Denise,Mathews,,1957-10-31,264.96,2023-03-16,Stone-Joseph,Market
150,524694,Michael,Yang,F,1968-10-28,974.83,2023-03-03,"Jones, Cortez and Weaver",Travel
151,779318,Robert,Mendoza,F,1985-10-24,13.91,2023-02-14,Shelton PLC,Restaurant
152,714392,Madison,Liu,F,1992-10-22,199.06,2023-07-17,Whitehead-Santos,Clothing
153,97841,Kristin,Richardson,,1966-10-29,624.17,2023-05-15,"Hart, Lynch and Gonzalez",Electronics
154,814720,James,Stewart,,1991-10-23,202.51,2023-04-09,"Anderson, Garcia and Beard",Market
156,999791,Kyle,Wade,F,1981-10-25,50.64,2023-05-21,Brown Ltd,Restaurant
163,810891,Chase,Garcia,F,1988-10-23,131.53,2023-04-22,Ingram-Lucas,Electronics
167,683369,Mark,Bailey,F,1948-11-02,306.21,2023-06-08,"Velasquez, Shah and Thomas",Market
168,269539,John,Davis,F,1972-10-27,214.52,2023-04-07,"Aguilar, Rodriguez and Cruz",Clothing
169,757732,Roger,Riley,F,1962-10-30,85.54,2023-08-16,Adkins-Weiss,Cosmetic
170,604713,Ashley,Campbell,F,1960-10-30,105.78,2023-02-04,"Levy, Nelson and Wilson",Clothing
173,152372,Richard,Williams,,1976-10-26,775.24,2023-05-23,Jones Group,Electronics
174,197007,Kathy,Maldonado,F,1999-10-21,273.92,2023-06-17,"Hernandez, Wiggins and Duncan",Clothing
175,308476,Sean,Reilly,F,2000-10-20,140.4,2023-07-17,Garcia Group,Clothing
177,212969,Amy,Powell,F,2001-10-20,209.17,2023-04-08,Guerrero-Delgado,Market
178,111995,Melissa,Turner,F,1973-10-27,73.27,2023-09-04,Reyes-Perkins,Restaurant
179,613364,Tina,Lucas,F,1982-10-25,284.62,2023-06-19,James-Bennett,Electronics
181,252520,Anthony,Armstrong,,2004-10-19,2720.55,2023-02-13,Proctor-Rodgers,Travel
184,311124,Jacqueline,Gonzalez,F,1977-10-26,524.45,2023-09-03,Downs-Donovan,Electronics
